"Step","20251218-210813-stage1-CIFAR10-ResNet18-sigmoid-4.0 - train/acc1","20251218-210813-stage1-CIFAR10-ResNet18-sigmoid-4.0 - train/acc1__MIN","20251218-210813-stage1-CIFAR10-ResNet18-sigmoid-4.0 - train/acc1__MAX","20251218-210657-stage1-CIFAR10-VGG19-sigmoid-4.0 - train/acc1","20251218-210657-stage1-CIFAR10-VGG19-sigmoid-4.0 - train/acc1__MIN","20251218-210657-stage1-CIFAR10-VGG19-sigmoid-4.0 - train/acc1__MAX","20251218-210018-stage1-CIFAR10-VGG8-sigmoid-4.0 - train/acc1","20251218-210018-stage1-CIFAR10-VGG8-sigmoid-4.0 - train/acc1__MIN","20251218-210018-stage1-CIFAR10-VGG8-sigmoid-4.0 - train/acc1__MAX","20251218-205922-stage1-CIFAR10-VGG16-sigmoid-4.0 - train/acc1","20251218-205922-stage1-CIFAR10-VGG16-sigmoid-4.0 - train/acc1__MIN","20251218-205922-stage1-CIFAR10-VGG16-sigmoid-4.0 - train/acc1__MAX"
"0","10.15625","10.15625","10.15625","8.59375","8.59375","8.59375","7.8125","7.8125","7.8125","9.375","9.375","9.375"
"50","17.29473039215686","17.29473039215686","17.29473039215686","16.42156862745098","16.42156862745098","16.42156862745098","27.63480392156863","27.63480392156863","27.63480392156863","19.745710784313726","19.745710784313726","19.745710784313726"
"100","22.114789603960396","22.114789603960396","22.114789603960396","18.448329207920793","18.448329207920793","18.448329207920793","30.770420792079207","30.770420792079207","30.770420792079207","21.61200495049505","21.61200495049505","21.61200495049505"
"150","25.56912251655629","25.56912251655629","25.56912251655629","20.15728476821192","20.15728476821192","20.15728476821192","33.47475165562914","33.47475165562914","33.47475165562914","23.313327814569536","23.313327814569536","23.313327814569536"
"200","27.5380907960199","27.5380907960199","27.5380907960199","21.412468905472636","21.412468905472636","21.412468905472636","35.296175373134325","35.296175373134325","35.296175373134325","24.31592039800995","24.31592039800995","24.31592039800995"
"250","29.28598107569721","29.28598107569721","29.28598107569721","22.30764442231076","22.30764442231076","22.30764442231076","36.833914342629484","36.833914342629484","36.833914342629484","24.915961155378486","24.915961155378486","24.915961155378486"
"300","30.97487541528239","30.97487541528239","30.97487541528239","23.367421096345517","23.367421096345517","23.367421096345517","38.24750830564784","38.24750830564784","38.24750830564784","25.596968438538205","25.596968438538205","25.596968438538205"
"350","32.58769586894587","32.58769586894587","32.58769586894587","24.1920405982906","24.1920405982906","24.1920405982906","39.42752849002849","39.42752849002849","39.42752849002849","26.41559829059829","26.41559829059829","26.41559829059829"
"400","43.828125","43.828125","43.828125","28.671875","28.671875","28.671875","50.15625","50.15625","50.15625","38.28125","38.28125","38.28125"
"450","44.7265625","44.7265625","44.7265625","29.348958333333332","29.348958333333332","29.348958333333332","51.692708333333336","51.692708333333336","51.692708333333336","35.8984375","35.8984375","35.8984375"
"500","45.82386363636363","45.82386363636363","45.82386363636363","30.191761363636363","30.191761363636363","30.191761363636363","52.15909090909091","52.15909090909091","52.15909090909091","35.79545454545455","35.79545454545455","35.79545454545455"
"550","46.611328125","46.611328125","46.611328125","30.8203125","30.8203125","30.8203125","52.8662109375","52.8662109375","52.8662109375","36.0107421875","36.0107421875","36.0107421875"
"600","46.945684523809526","46.945684523809526","46.945684523809526","30.66220238095238","30.66220238095238","30.66220238095238","53.41517857142857","53.41517857142857","53.41517857142857","36.439732142857146","36.439732142857146","36.439732142857146"
"650","47.64723557692308","47.64723557692308","47.64723557692308","30.661057692307693","30.661057692307693","30.661057692307693","53.91826923076923","53.91826923076923","53.91826923076923","37.01622596153846","37.01622596153846","37.01622596153846"
"700","48.44506048387097","48.44506048387097","48.44506048387097","31.063508064516128","31.063508064516128","31.063508064516128","54.40776209677419","54.40776209677419","54.40776209677419","37.26814516129032","37.26814516129032","37.26814516129032"
"750","49.17100694444444","49.17100694444444","49.17100694444444","31.328125","31.328125","31.328125","54.82421875","54.82421875","54.82421875","37.80164930555556","37.80164930555556","37.80164930555556"
"800","54.64638157894737","54.64638157894737","54.64638157894737","31.70230263157895","31.70230263157895","31.70230263157895","59.53947368421053","59.53947368421053","59.53947368421053","38.89802631578947","38.89802631578947","38.89802631578947"
"850","56.600996376811594","56.600996376811594","56.600996376811594","32.291666666666664","32.291666666666664","32.291666666666664","59.18251811594203","59.18251811594203","59.18251811594203","41.44021739130435","41.44021739130435","41.44021739130435"
"900","57.56959033613445","57.56959033613445","57.56959033613445","33.449317226890756","33.449317226890756","33.449317226890756","59.40126050420168","59.40126050420168","59.40126050420168","42.79149159663866","42.79149159663866","42.79149159663866"
"950","57.951183431952664","57.951183431952664","57.951183431952664","33.88498520710059","33.88498520710059","33.88498520710059","59.804918639053255","59.804918639053255","59.804918639053255","43.36168639053255","43.36168639053255","43.36168639053255"
"1000","58.59018264840183","58.59018264840183","58.59018264840183","34.482020547945204","34.482020547945204","34.482020547945204","60.199058219178085","60.199058219178085","60.199058219178085","43.789240867579906","43.789240867579906","43.789240867579906"
"1050","59.27915892193309","59.27915892193309","59.27915892193309","34.78450278810409","34.78450278810409","34.78450278810409","60.530901486988846","60.530901486988846","60.530901486988846","44.37441914498141","44.37441914498141","44.37441914498141"
"1100","59.51704545454545","59.51704545454545","59.51704545454545","35.35707288401254","35.35707288401254","35.35707288401254","60.94729623824451","60.94729623824451","60.94729623824451","44.96228448275862","44.96228448275862","44.96228448275862"
"1150","59.959349593495936","59.959349593495936","59.959349593495936","35.9057418699187","35.9057418699187","35.9057418699187","61.28895663956639","61.28895663956639","61.28895663956639","45.59620596205962","45.59620596205962","45.59620596205962"
"1200","63.61607142857143","63.61607142857143","63.61607142857143","40.848214285714285","40.848214285714285","40.848214285714285","65.0390625","65.0390625","65.0390625","49.190848214285715","49.190848214285715","49.190848214285715"
"1250","63.68189102564103","63.68189102564103","63.68189102564103","41.76682692307692","41.76682692307692","41.76682692307692","66.00560897435898","66.00560897435898","66.00560897435898","50.17027243589744","50.17027243589744","50.17027243589744"
"1300","64.36767578125","64.36767578125","64.36767578125","41.937255859375","41.937255859375","41.937255859375","65.093994140625","65.093994140625","65.093994140625","50.62255859375","50.62255859375","50.62255859375"
"1350","64.72085674157303","64.72085674157303","64.72085674157303","42.358672752808985","42.358672752808985","42.358672752808985","65.55038623595506","65.55038623595506","65.55038623595506","51.74683988764045","51.74683988764045","51.74683988764045"
"1400","64.97395833333333","64.97395833333333","64.97395833333333","42.74259868421053","42.74259868421053","42.74259868421053","65.43654057017544","65.43654057017544","65.43654057017544","52.00452302631579","52.00452302631579","52.00452302631579"
"1450","65.23999550359713","65.23999550359713","65.23999550359713","42.95750899280576","42.95750899280576","42.95750899280576","65.42547212230215","65.42547212230215","65.42547212230215","52.28473471223022","52.28473471223022","52.28473471223022"
"1500","65.57498094512195","65.57498094512195","65.57498094512195","43.423685213414636","43.423685213414636","43.423685213414636","65.60118140243902","65.60118140243902","65.60118140243902","52.5414443597561","52.5414443597561","52.5414443597561"
"1550","65.69320436507937","65.69320436507937","65.69320436507937","43.977347883597886","43.977347883597886","43.977347883597886","65.87301587301587","65.87301587301587","65.87301587301587","52.81911375661376","52.81911375661376","52.81911375661376"
"1600","69.82685810810811","69.82685810810811","69.82685810810811","47.12837837837838","47.12837837837838","47.12837837837838","69.78462837837837","69.78462837837837","69.78462837837837","56.14442567567568","56.14442567567568","56.14442567567568"
"1650","68.83979885057471","68.83979885057471","68.83979885057471","47.934626436781606","47.934626436781606","47.934626436781606","68.97449712643679","68.97449712643679","68.97449712643679","55.504669540229884","55.504669540229884","55.504669540229884"
"1700","68.77851277372262","68.77851277372262","68.77851277372262","48.106751824817515","48.106751824817515","48.106751824817515","68.77281021897811","68.77281021897811","68.77281021897811","55.987682481751825","55.987682481751825","55.987682481751825"
"1750","69.3683155080214","69.3683155080214","69.3683155080214","48.30381016042781","48.30381016042781","48.30381016042781","68.94217914438502","68.94217914438502","68.94217914438502","56.02857620320856","56.02857620320856","56.02857620320856"
"1800","69.57080696202532","69.57080696202532","69.57080696202532","48.68143459915612","48.68143459915612","48.68143459915612","68.88185654008439","68.88185654008439","68.88185654008439","56.31592827004219","56.31592827004219","56.31592827004219"
"1850","69.89329268292683","69.89329268292683","69.89329268292683","49.07992160278746","49.07992160278746","49.07992160278746","68.89971689895471","68.89971689895471","68.89971689895471","56.61204268292683","56.61204268292683","56.61204268292683"
"1900","70.12472181008901","70.12472181008901","70.12472181008901","49.45521142433235","49.45521142433235","49.45521142433235","69.21133160237389","69.21133160237389","69.21133160237389","56.82956231454006","56.82956231454006","56.82956231454006"
"1950","70.22569444444444","70.22569444444444","70.22569444444444","49.685077519379846","49.685077519379846","49.685077519379846","69.24055232558139","69.24055232558139","69.24055232558139","57.049418604651166","57.049418604651166","57.049418604651166"
"2000","73.35258152173913","73.35258152173913","73.35258152173913","50.05095108695652","50.05095108695652","50.05095108695652","70.72010869565217","70.72010869565217","70.72010869565217","59.49388586956522","59.49388586956522","59.49388586956522"
"2050","73.35611979166667","73.35611979166667","73.35611979166667","51.009114583333336","51.009114583333336","51.009114583333336","71.435546875","71.435546875","71.435546875","60.807291666666664","60.807291666666664","60.807291666666664"
"2100","73.14319349315069","73.14319349315069","73.14319349315069","51.80329623287671","51.80329623287671","51.80329623287671","71.73587328767124","71.73587328767124","71.73587328767124","60.835830479452056","60.835830479452056","60.835830479452056"
"2150","73.35379464285714","73.35379464285714","73.35379464285714","52.35570790816327","52.35570790816327","52.35570790816327","71.69164540816327","71.69164540816327","71.69164540816327","60.9375","60.9375","60.9375"
"2200","73.55182926829268","73.55182926829268","73.55182926829268","52.8614075203252","52.8614075203252","52.8614075203252","71.5891768292683","71.5891768292683","71.5891768292683","61.124872967479675","61.124872967479675","61.124872967479675"
"2250","73.62753378378379","73.62753378378379","73.62753378378379","53.154032939189186","53.154032939189186","53.154032939189186","71.72455658783784","71.72455658783784","71.72455658783784","61.468010979729726","61.468010979729726","61.468010979729726"
"2300","73.6384573699422","73.6384573699422","73.6384573699422","53.556268063583815","53.556268063583815","53.556268063583815","71.7688764450867","71.7688764450867","71.7688764450867","61.42521676300578","61.42521676300578","61.42521676300578"
"2350","74.375","74.375","74.375","54.375","54.375","54.375","71.09375","71.09375","71.09375","66.40625","66.40625","66.40625"
"2400","74.74431818181819","74.74431818181819","74.74431818181819","57.32954545454545","57.32954545454545","57.32954545454545","72.96875","72.96875","72.96875","63.80681818181818","63.80681818181818","63.80681818181818"
"2450","75.91517857142857","75.91517857142857","75.91517857142857","56.93452380952381","56.93452380952381","56.93452380952381","72.87946428571429","72.87946428571429","72.87946428571429","63.83184523809524","63.83184523809524","63.83184523809524"
"2500","75.68548387096774","75.68548387096774","75.68548387096774","56.930443548387096","56.930443548387096","56.930443548387096","73.04435483870968","73.04435483870968","73.04435483870968","63.961693548387096","63.961693548387096","63.961693548387096"
"2550","75.8079268292683","75.8079268292683","75.8079268292683","57.21798780487805","57.21798780487805","57.21798780487805","73.54420731707317","73.54420731707317","73.54420731707317","64.11204268292683","64.11204268292683","64.11204268292683"
"2600","75.9283088235294","75.9283088235294","75.9283088235294","57.279411764705884","57.279411764705884","57.279411764705884","73.57843137254902","73.57843137254902","73.57843137254902","64.24019607843137","64.24019607843137","64.24019607843137"
"2650","76.0373975409836","76.0373975409836","76.0373975409836","57.44877049180328","57.44877049180328","57.44877049180328","73.52459016393442","73.52459016393442","73.52459016393442","64.375","64.375","64.375"
"2700","76.02772887323944","76.02772887323944","76.02772887323944","57.62103873239437","57.62103873239437","57.62103873239437","73.65096830985915","73.65096830985915","73.65096830985915","64.40801056338029","64.40801056338029","64.40801056338029"
"2750","77.23214285714286","77.23214285714286","77.23214285714286","61.328125","61.328125","61.328125","75.94866071428571","75.94866071428571","75.94866071428571","66.62946428571429","66.62946428571429","66.62946428571429"
"2800","76.72119140625","76.72119140625","76.72119140625","59.4482421875","59.4482421875","59.4482421875","75.72021484375","75.72021484375","75.72021484375","66.05224609375","66.05224609375","66.05224609375"
"2850","76.85718201754386","76.85718201754386","76.85718201754386","59.68338815789474","59.68338815789474","59.68338815789474","74.65049342105263","74.65049342105263","74.65049342105263","66.92708333333333","66.92708333333333","66.92708333333333"
"2900","76.9435975609756","76.9435975609756","76.9435975609756","60.05144817073171","60.05144817073171","60.05144817073171","74.72370426829268","74.72370426829268","74.72370426829268","66.8873856707317","66.8873856707317","66.8873856707317"
"2950","77.20867406542057","77.20867406542057","77.20867406542057","60.28767523364486","60.28767523364486","60.28767523364486","75.00730140186916","75.00730140186916","75.00730140186916","66.95750584112149","66.95750584112149","66.95750584112149"
"3000","77.36150568181819","77.36150568181819","77.36150568181819","60.11186079545455","60.11186079545455","60.11186079545455","75.08285984848484","75.08285984848484","75.08285984848484","67.04545454545455","67.04545454545455","67.04545454545455"
"3050","77.41839171974522","77.41839171974522","77.41839171974522","60.18610668789809","60.18610668789809","60.18610668789809","75.16421178343948","75.16421178343948","75.16421178343948","67.07553742038216","67.07553742038216","67.07553742038216"
"3100","77.61632898351648","77.61632898351648","77.61632898351648","60.270003434065934","60.270003434065934","60.270003434065934","75.11160714285714","75.11160714285714","75.11160714285714","67.39569024725274","67.39569024725274","67.39569024725274"
"3150","78.36277173913044","78.36277173913044","78.36277173913044","63.31521739130435","63.31521739130435","63.31521739130435","75.95108695652173","75.95108695652173","75.95108695652173","70.48233695652173","70.48233695652173","70.48233695652173"
"3200","78.69220890410959","78.69220890410959","78.69220890410959","63.02440068493151","63.02440068493151","63.02440068493151","76.64811643835617","76.64811643835617","76.64811643835617","70.35530821917808","70.35530821917808","70.35530821917808"
"3250","79.01422764227642","79.01422764227642","79.01422764227642","62.582571138211385","62.582571138211385","62.582571138211385","76.1496443089431","76.1496443089431","76.1496443089431","69.9758638211382","69.9758638211382","69.9758638211382"
"3300","79.30816473988439","79.30816473988439","79.30816473988439","62.3735549132948","62.3735549132948","62.3735549132948","76.25993497109826","76.25993497109826","76.25993497109826","69.91058526011561","69.91058526011561","69.91058526011561"
"3350","79.15498878923766","79.15498878923766","79.15498878923766","62.69268497757847","62.69268497757847","62.69268497757847","76.11056614349776","76.11056614349776","76.11056614349776","69.92362668161435","69.92362668161435","69.92362668161435"
"3400","78.98065476190476","78.98065476190476","78.98065476190476","62.70032051282051","62.70032051282051","62.70032051282051","76.23626373626374","76.23626373626374","76.23626373626374","69.84031593406593","69.84031593406593","69.84031593406593"
"3450","79.11667956656346","79.11667956656346","79.11667956656346","62.85797213622291","62.85797213622291","62.85797213622291","76.29402089783282","76.29402089783282","76.29402089783282","69.85777863777089","69.85777863777089","69.85777863777089"
"3500","79.1429289544236","79.1429289544236","79.1429289544236","63.124162198391424","63.124162198391424","63.124162198391424","76.31744302949062","76.31744302949062","76.31744302949062","69.9438672922252","69.9438672922252","69.9438672922252"
"3550","80.0537109375","80.0537109375","80.0537109375","65.2587890625","65.2587890625","65.2587890625","77.3193359375","77.3193359375","77.3193359375","69.580078125","69.580078125","69.580078125"
"3600","80.1829268292683","80.1829268292683","80.1829268292683","65.25342987804878","65.25342987804878","65.25342987804878","77.11509146341463","77.11509146341463","77.11509146341463","71.1794969512195","71.1794969512195","71.1794969512195"
"3650","80.17874053030303","80.17874053030303","80.17874053030303","65.3231534090909","65.3231534090909","65.3231534090909","77.41477272727273","77.41477272727273","77.41477272727273","71.15293560606061","71.15293560606061","71.15293560606061"
"3700","80.18543956043956","80.18543956043956","80.18543956043956","65.23866758241758","65.23866758241758","65.23866758241758","77.75583791208791","77.75583791208791","77.75583791208791","71.28691620879121","71.28691620879121","71.28691620879121"
