"Step","20251218-210813-stage1-CIFAR10-ResNet18-sigmoid-4.0 - train/loss","20251218-210813-stage1-CIFAR10-ResNet18-sigmoid-4.0 - train/loss__MIN","20251218-210813-stage1-CIFAR10-ResNet18-sigmoid-4.0 - train/loss__MAX","20251218-210657-stage1-CIFAR10-VGG19-sigmoid-4.0 - train/loss","20251218-210657-stage1-CIFAR10-VGG19-sigmoid-4.0 - train/loss__MIN","20251218-210657-stage1-CIFAR10-VGG19-sigmoid-4.0 - train/loss__MAX","20251218-210018-stage1-CIFAR10-VGG8-sigmoid-4.0 - train/loss","20251218-210018-stage1-CIFAR10-VGG8-sigmoid-4.0 - train/loss__MIN","20251218-210018-stage1-CIFAR10-VGG8-sigmoid-4.0 - train/loss__MAX","20251218-205922-stage1-CIFAR10-VGG16-sigmoid-4.0 - train/loss","20251218-205922-stage1-CIFAR10-VGG16-sigmoid-4.0 - train/loss__MIN","20251218-205922-stage1-CIFAR10-VGG16-sigmoid-4.0 - train/loss__MAX"
"0","2.4015755653381348","2.4015755653381348","2.4015755653381348","2.3080811500549316","2.3080811500549316","2.3080811500549316","2.317570209503174","2.317570209503174","2.317570209503174","2.3119704723358154","2.3119704723358154","2.3119704723358154"
"50","2.3643987319048714","2.3643987319048714","2.3643987319048714","2.130041587586496","2.130041587586496","2.130041587586496","1.9391398733737422","1.9391398733737422","1.9391398733737422","2.0991433905620203","2.0991433905620203","2.0991433905620203"
"100","2.179037042183451","2.179037042183451","2.179037042183451","2.0742011436141365","2.0742011436141365","2.0742011436141365","1.8617554832212995","1.8617554832212995","1.8617554832212995","2.0291876946345413","2.0291876946345413","2.0291876946345413"
"150","2.05913773356684","2.05913773356684","2.05913773356684","2.039243380754989","2.039243380754989","2.039243380754989","1.7916400282588225","1.7916400282588225","1.7916400282588225","1.9861367261962386","1.9861367261962386","1.9861367261962386"
"200","1.9909727994482316","1.9909727994482316","1.9909727994482316","2.017220359536546","2.017220359536546","2.017220359536546","1.7457336377148605","1.7457336377148605","1.7457336377148605","1.9577492090006965","1.9577492090006965","1.9577492090006965"
"250","1.941737014458949","1.941737014458949","1.941737014458949","1.9961155681496123","1.9961155681496123","1.9961155681496123","1.7057514442390656","1.7057514442390656","1.7057514442390656","1.9418918326556445","1.9418918326556445","1.9418918326556445"
"300","1.8945810169080564","1.8945810169080564","1.8945810169080564","1.975421978389702","1.975421978389702","1.975421978389702","1.674513965350053","1.674513965350053","1.674513965350053","1.9229963554496385","1.9229963554496385","1.9229963554496385"
"350","1.8474380222820488","1.8474380222820488","1.8474380222820488","1.959706545555354","1.959706545555354","1.959706545555354","1.6445184643791613","1.6445184643791613","1.6445184643791613","1.905593223381586","1.905593223381586","1.905593223381586"
"400","1.5240609407424928","1.5240609407424928","1.5240609407424928","1.8454598546028138","1.8454598546028138","1.8454598546028138","1.3654937624931336","1.3654937624931336","1.3654937624931336","1.6754583716392517","1.6754583716392517","1.6754583716392517"
"450","1.507004084189733","1.507004084189733","1.507004084189733","1.8314074099063873","1.8314074099063873","1.8314074099063873","1.338531893491745","1.338531893491745","1.338531893491745","1.7126636902491252","1.7126636902491252","1.7126636902491252"
"500","1.4868129275061868","1.4868129275061868","1.4868129275061868","1.8167854796756397","1.8167854796756397","1.8167854796756397","1.327346263148568","1.327346263148568","1.327346263148568","1.7069121555848554","1.7069121555848554","1.7069121555848554"
"550","1.4534478031098843","1.4534478031098843","1.4534478031098843","1.8090908914804458","1.8090908914804458","1.8090908914804458","1.312778104096651","1.312778104096651","1.312778104096651","1.698670867830515","1.698670867830515","1.698670867830515"
"600","1.4432940170878457","1.4432940170878457","1.4432940170878457","1.8112764795621237","1.8112764795621237","1.8112764795621237","1.294357214655195","1.294357214655195","1.294357214655195","1.6856085391271682","1.6856085391271682","1.6856085391271682"
"650","1.425553766122231","1.425553766122231","1.425553766122231","1.8096582747422731","1.8096582747422731","1.8096582747422731","1.2820099404224983","1.2820099404224983","1.2820099404224983","1.674674222102532","1.674674222102532","1.674674222102532"
"700","1.4046319288592184","1.4046319288592184","1.4046319288592184","1.800947795375701","1.800947795375701","1.800947795375701","1.2701540470123291","1.2701540470123291","1.2701540470123291","1.664927791395495","1.664927791395495","1.664927791395495"
"750","1.3881204406420389","1.3881204406420389","1.3881204406420389","1.7960878762933943","1.7960878762933943","1.7960878762933943","1.25824393497573","1.25824393497573","1.25824393497573","1.6537747313578923","1.6537747313578923","1.6537747313578923"
