"Step","20251219-082014-stage1-CIFAR10-VGG8-my_superspike-4.0 - train/acc1","20251219-082014-stage1-CIFAR10-VGG8-my_superspike-4.0 - train/acc1__MIN","20251219-082014-stage1-CIFAR10-VGG8-my_superspike-4.0 - train/acc1__MAX","20251219-081942-stage1-CIFAR10-VGG8-my_triangular-4.0 - train/acc1","20251219-081942-stage1-CIFAR10-VGG8-my_triangular-4.0 - train/acc1__MIN","20251219-081942-stage1-CIFAR10-VGG8-my_triangular-4.0 - train/acc1__MAX","20251218-220526-stage1-CIFAR10-VGG8-my_sigmoid-10.0 - train/acc1","20251218-220526-stage1-CIFAR10-VGG8-my_sigmoid-10.0 - train/acc1__MIN","20251218-220526-stage1-CIFAR10-VGG8-my_sigmoid-10.0 - train/acc1__MAX","20251218-220404-stage1-CIFAR10-VGG8-my_triangular-10.0 - train/acc1","20251218-220404-stage1-CIFAR10-VGG8-my_triangular-10.0 - train/acc1__MIN","20251218-220404-stage1-CIFAR10-VGG8-my_triangular-10.0 - train/acc1__MAX","20251218-220230-stage1-CIFAR10-VGG8-my_superspike-10.0 - train/acc1","20251218-220230-stage1-CIFAR10-VGG8-my_superspike-10.0 - train/acc1__MIN","20251218-220230-stage1-CIFAR10-VGG8-my_superspike-10.0 - train/acc1__MAX","20251218-220059-stage1-CIFAR10-VGG8-my_sigmoid-4.0 - train/acc1","20251218-220059-stage1-CIFAR10-VGG8-my_sigmoid-4.0 - train/acc1__MIN","20251218-220059-stage1-CIFAR10-VGG8-my_sigmoid-4.0 - train/acc1__MAX"
"0","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125"
"50","28.385416666666668","28.385416666666668","28.385416666666668","26.5625","26.5625","26.5625","25.919117647058822","25.919117647058822","25.919117647058822","24.49448529411765","24.49448529411765","24.49448529411765","25.75061274509804","25.75061274509804","25.75061274509804","27.282475490196077","27.282475490196077","27.282475490196077"
"100","31.574876237623762","31.574876237623762","31.574876237623762","30.043316831683168","30.043316831683168","30.043316831683168","29.648824257425744","29.648824257425744","29.648824257425744","27.366955445544555","27.366955445544555","27.366955445544555","29.439975247524753","29.439975247524753","29.439975247524753","30.136138613861387","30.136138613861387","30.136138613861387"
"150","34.25600165562914","34.25600165562914","34.25600165562914","32.662458609271525","32.662458609271525","32.662458609271525","32.4192880794702","32.4192880794702","32.4192880794702","29.8841059602649","29.8841059602649","29.8841059602649","32.07781456953642","32.07781456953642","32.07781456953642","32.93149834437086","32.93149834437086","32.93149834437086"
"200","36.392257462686565","36.392257462686565","36.392257462686565","34.68205845771144","34.68205845771144","34.68205845771144","34.34390547263681","34.34390547263681","34.34390547263681","31.46377487562189","31.46377487562189","31.46377487562189","34.02518656716418","34.02518656716418","34.02518656716418","34.80643656716418","34.80643656716418","34.80643656716418"
"250","37.836155378486055","37.836155378486055","37.836155378486055","36.17405378486056","36.17405378486056","36.17405378486056","35.76319721115538","35.76319721115538","35.76319721115538","32.613296812749006","32.613296812749006","32.613296812749006","35.47061752988048","35.47061752988048","35.47061752988048","36.282993027888445","36.282993027888445","36.282993027888445"
"300","39.17151162790697","39.17151162790697","39.17151162790697","37.32610049833887","37.32610049833887","37.32610049833887","37.108077242524914","37.108077242524914","37.108077242524914","33.4406146179402","33.4406146179402","33.4406146179402","36.622715946843854","36.622715946843854","36.622715946843854","37.53374169435216","37.53374169435216","37.53374169435216"
"350","40.41355056980057","40.41355056980057","40.41355056980057","38.40144230769231","38.40144230769231","38.40144230769231","38.27902421652421","38.27902421652421","38.27902421652421","34.25480769230769","34.25480769230769","34.25480769230769","37.63799857549858","37.63799857549858","37.63799857549858","38.804309116809115","38.804309116809115","38.804309116809115"
"400","50.625","50.625","50.625","46.40625","46.40625","46.40625","49.53125","49.53125","49.53125","40.78125","40.78125","40.78125","44.0625","44.0625","44.0625","48.828125","48.828125","48.828125"
"450","52.109375","52.109375","52.109375","47.565104166666664","47.565104166666664","47.565104166666664","50.286458333333336","50.286458333333336","50.286458333333336","40.625","40.625","40.625","45.4296875","45.4296875","45.4296875","50.755208333333336","50.755208333333336","50.755208333333336"
"500","52.78409090909091","52.78409090909091","52.78409090909091","47.76988636363637","47.76988636363637","47.76988636363637","50.79545454545455","50.79545454545455","50.79545454545455","41.40625","41.40625","41.40625","46.13636363636363","46.13636363636363","46.13636363636363","51.77556818181818","51.77556818181818","51.77556818181818"
"550","53.2421875","53.2421875","53.2421875","48.18359375","48.18359375","48.18359375","51.318359375","51.318359375","51.318359375","41.630859375","41.630859375","41.630859375","46.5234375","46.5234375","46.5234375","52.3486328125","52.3486328125","52.3486328125"
"600","53.404017857142854","53.404017857142854","53.404017857142854","48.45238095238095","48.45238095238095","48.45238095238095","51.77827380952381","51.77827380952381","51.77827380952381","41.85639880952381","41.85639880952381","41.85639880952381","46.804315476190474","46.804315476190474","46.804315476190474","52.860863095238095","52.860863095238095","52.860863095238095"
"650","53.89122596153846","53.89122596153846","53.89122596153846","48.93930288461539","48.93930288461539","48.93930288461539","52.24459134615385","52.24459134615385","52.24459134615385","42.18449519230769","42.18449519230769","42.18449519230769","47.16346153846154","47.16346153846154","47.16346153846154","53.50661057692308","53.50661057692308","53.50661057692308"
"700","54.22379032258065","54.22379032258065","54.22379032258065","49.15070564516129","49.15070564516129","49.15070564516129","52.68901209677419","52.68901209677419","52.68901209677419","42.27066532258065","42.27066532258065","42.27066532258065","47.38659274193548","47.38659274193548","47.38659274193548","54.047379032258064","54.047379032258064","54.047379032258064"
"750","54.62022569444444","54.62022569444444","54.62022569444444","49.46180555555556","49.46180555555556","49.46180555555556","53.21397569444444","53.21397569444444","53.21397569444444","42.556423611111114","42.556423611111114","42.556423611111114","47.634548611111114","47.634548611111114","47.634548611111114","54.41840277777778","54.41840277777778","54.41840277777778"
"800","59.827302631578945","59.827302631578945","59.827302631578945","54.11184210526316","54.11184210526316","54.11184210526316","56.78453947368421","56.78453947368421","56.78453947368421","44.6546052631579","44.6546052631579","44.6546052631579","51.52138157894737","51.52138157894737","51.52138157894737","59.703947368421055","59.703947368421055","59.703947368421055"
"850","58.50317028985507","58.50317028985507","58.50317028985507","52.966485507246375","52.966485507246375","52.966485507246375","57.25769927536232","57.25769927536232","57.25769927536232","43.99909420289855","43.99909420289855","43.99909420289855","50.803894927536234","50.803894927536234","50.803894927536234","58.77490942028985","58.77490942028985","58.77490942028985"
"900","58.90887605042017","58.90887605042017","58.90887605042017","52.61292016806723","52.61292016806723","52.61292016806723","57.87158613445378","57.87158613445378","57.87158613445378","43.82221638655462","43.82221638655462","43.82221638655462","50.72216386554622","50.72216386554622","50.72216386554622","58.90887605042017","58.90887605042017","58.90887605042017"
"950","59.467455621301774","59.467455621301774","59.467455621301774","53.49944526627219","53.49944526627219","53.49944526627219","58.45044378698225","58.45044378698225","58.45044378698225","44.313979289940825","44.313979289940825","44.313979289940825","51.164940828402365","51.164940828402365","51.164940828402365","59.319526627218934","59.319526627218934","59.319526627218934"
"1000","59.83875570776256","59.83875570776256","59.83875570776256","54.0275399543379","54.0275399543379","54.0275399543379","58.8363299086758","58.8363299086758","58.8363299086758","44.74172374429224","44.74172374429224","44.74172374429224","51.29851598173516","51.29851598173516","51.29851598173516","59.788812785388124","59.788812785388124","59.788812785388124"
"1050","60.037174721189594","60.037174721189594","60.037174721189594","54.14730483271376","54.14730483271376","54.14730483271376","59.15717936802974","59.15717936802974","59.15717936802974","44.67646375464684","44.67646375464684","44.67646375464684","51.33887081784387","51.33887081784387","51.33887081784387","60.196909851301115","60.196909851301115","60.196909851301115"
"1100","60.47217868338558","60.47217868338558","60.47217868338558","54.56994514106583","54.56994514106583","54.56994514106583","59.50969827586207","59.50969827586207","59.50969827586207","44.89860893416928","44.89860893416928","44.89860893416928","51.66046238244514","51.66046238244514","51.66046238244514","60.71953369905956","60.71953369905956","60.71953369905956"
"1150","60.793529810298104","60.793529810298104","60.793529810298104","54.861111111111114","54.861111111111114","54.861111111111114","59.87254403794038","59.87254403794038","59.87254403794038","45.109247967479675","45.109247967479675","45.109247967479675","51.861026422764226","51.861026422764226","51.861026422764226","61.106876693766935","61.106876693766935","61.106876693766935"
"1200","62.416294642857146","62.416294642857146","62.416294642857146","57.645089285714285","57.645089285714285","57.645089285714285","62.24888392857143","62.24888392857143","62.24888392857143","46.34486607142857","46.34486607142857","46.34486607142857","53.794642857142854","53.794642857142854","53.794642857142854","64.56473214285714","64.56473214285714","64.56473214285714"
"1250","64.09254807692308","64.09254807692308","64.09254807692308","57.942708333333336","57.942708333333336","57.942708333333336","63.79206730769231","63.79206730769231","63.79206730769231","46.594551282051285","46.594551282051285","46.594551282051285","54.61738782051282","54.61738782051282","54.61738782051282","65.55488782051282","65.55488782051282","65.55488782051282"
"1300","63.909912109375","63.909912109375","63.909912109375","57.87353515625","57.87353515625","57.87353515625","63.24462890625","63.24462890625","63.24462890625","46.075439453125","46.075439453125","46.075439453125","54.052734375","54.052734375","54.052734375","64.84375","64.84375","64.84375"
"1350","64.26878511235955","64.26878511235955","64.26878511235955","58.27334971910113","58.27334971910113","58.27334971910113","63.82988061797753","63.82988061797753","63.82988061797753","46.51509831460674","46.51509831460674","46.51509831460674","54.41537921348315","54.41537921348315","54.41537921348315","65.37482443820225","65.37482443820225","65.37482443820225"
"1400","64.26123903508773","64.26123903508773","64.26123903508773","58.29906798245614","58.29906798245614","58.29906798245614","63.66159539473684","63.66159539473684","63.66159539473684","46.61115679824562","46.61115679824562","46.61115679824562","54.39967105263158","54.39967105263158","54.39967105263158","65.3405975877193","65.3405975877193","65.3405975877193"
