"Step","20251219-082014-stage1-CIFAR10-VGG8-my_superspike-4.0 - train/loss","20251219-082014-stage1-CIFAR10-VGG8-my_superspike-4.0 - train/loss__MIN","20251219-082014-stage1-CIFAR10-VGG8-my_superspike-4.0 - train/loss__MAX","20251219-081942-stage1-CIFAR10-VGG8-my_triangular-4.0 - train/loss","20251219-081942-stage1-CIFAR10-VGG8-my_triangular-4.0 - train/loss__MIN","20251219-081942-stage1-CIFAR10-VGG8-my_triangular-4.0 - train/loss__MAX","20251218-220526-stage1-CIFAR10-VGG8-my_sigmoid-10.0 - train/loss","20251218-220526-stage1-CIFAR10-VGG8-my_sigmoid-10.0 - train/loss__MIN","20251218-220526-stage1-CIFAR10-VGG8-my_sigmoid-10.0 - train/loss__MAX","20251218-220404-stage1-CIFAR10-VGG8-my_triangular-10.0 - train/loss","20251218-220404-stage1-CIFAR10-VGG8-my_triangular-10.0 - train/loss__MIN","20251218-220404-stage1-CIFAR10-VGG8-my_triangular-10.0 - train/loss__MAX","20251218-220230-stage1-CIFAR10-VGG8-my_superspike-10.0 - train/loss","20251218-220230-stage1-CIFAR10-VGG8-my_superspike-10.0 - train/loss__MIN","20251218-220230-stage1-CIFAR10-VGG8-my_superspike-10.0 - train/loss__MAX","20251218-220059-stage1-CIFAR10-VGG8-my_sigmoid-4.0 - train/loss","20251218-220059-stage1-CIFAR10-VGG8-my_sigmoid-4.0 - train/loss__MIN","20251218-220059-stage1-CIFAR10-VGG8-my_sigmoid-4.0 - train/loss__MAX"
"0","2.317570209503174","2.317570209503174","2.317570209503174","2.317570209503174","2.317570209503174","2.317570209503174","2.317570209503174","2.317570209503174","2.317570209503174","2.317570209503174","2.317570209503174","2.317570209503174","2.317570209503174","2.317570209503174","2.317570209503174","2.317570209503174","2.317570209503174","2.317570209503174"
"50","1.9114525879130644","1.9114525879130644","1.9114525879130644","1.9544415731056064","1.9544415731056064","1.9544415731056064","1.9692657765220194","1.9692657765220194","1.9692657765220194","2.021467089653015","2.021467089653015","2.021467089653015","1.9676004952075434","1.9676004952075434","1.9676004952075434","1.945282821561776","1.945282821561776","1.945282821561776"
"100","1.8358683279245207","1.8358683279245207","1.8358683279245207","1.871981645574664","1.871981645574664","1.871981645574664","1.8853601677582996","1.8853601677582996","1.8853601677582996","1.948196854921851","1.948196854921851","1.948196854921851","1.882551125960775","1.882551125960775","1.882551125960775","1.8764214137993236","1.8764214137993236","1.8764214137993236"
"150","1.763586969565082","1.763586969565082","1.763586969565082","1.7975122904935419","1.7975122904935419","1.7975122904935419","1.818241996480929","1.818241996480929","1.818241996480929","1.8839859922990103","1.8839859922990103","1.8839859922990103","1.810423344965802","1.810423344965802","1.810423344965802","1.8022005715907015","1.8022005715907015","1.8022005715907015"
"200","1.7155805405099593","1.7155805405099593","1.7155805405099593","1.7495948455820036","1.7495948455820036","1.7495948455820036","1.7725244695274391","1.7725244695274391","1.7725244695274391","1.843501761184996","1.843501761184996","1.843501761184996","1.7641246828866834","1.7641246828866834","1.7641246828866834","1.7565616944536049","1.7565616944536049","1.7565616944536049"
"250","1.6777530514386545","1.6777530514386545","1.6777530514386545","1.7164063059476267","1.7164063059476267","1.7164063059476267","1.7331705121880034","1.7331705121880034","1.7331705121880034","1.8142778621726776","1.8142778621726776","1.8142778621726776","1.7309560600029994","1.7309560600029994","1.7309560600029994","1.7171450967332755","1.7171450967332755","1.7171450967332755"
"300","1.6483672306783175","1.6483672306783175","1.6483672306783175","1.6911434881710927","1.6911434881710927","1.6911434881710927","1.699357721496658","1.699357721496658","1.699357721496658","1.7911499572354694","1.7911499572354694","1.7911499572354694","1.7047437128434546","1.7047437128434546","1.7047437128434546","1.685828243379181","1.685828243379181","1.685828243379181"
"350","1.6182242237944209","1.6182242237944209","1.6182242237944209","1.665573901600308","1.665573901600308","1.665573901600308","1.6702643711003142","1.6702643711003142","1.6702643711003142","1.7703103058018916","1.7703103058018916","1.7703103058018916","1.6804383690880236","1.6804383690880236","1.6804383690880236","1.6559518585857163","1.6559518585857163","1.6559518585857163"
"400","1.3503945350646973","1.3503945350646973","1.3503945350646973","1.4785709738731385","1.4785709738731385","1.4785709738731385","1.3820916295051575","1.3820916295051575","1.3820916295051575","1.6300464391708374","1.6300464391708374","1.6300464391708374","1.5114835858345033","1.5114835858345033","1.5114835858345033","1.3806550741195678","1.3806550741195678","1.3806550741195678"
"450","1.3360409398873647","1.3360409398873647","1.3360409398873647","1.446226147810618","1.446226147810618","1.446226147810618","1.3683925608793894","1.3683925608793894","1.3683925608793894","1.6056317448616029","1.6056317448616029","1.6056317448616029","1.4849914153416952","1.4849914153416952","1.4849914153416952","1.3616935590902963","1.3616935590902963","1.3616935590902963"
"500","1.3116708809679205","1.3116708809679205","1.3116708809679205","1.4306561708450318","1.4306561708450318","1.4306561708450318","1.36111835566434","1.36111835566434","1.36111835566434","1.5873301831158724","1.5873301831158724","1.5873301831158724","1.4672584035179832","1.4672584035179832","1.4672584035179832","1.3361782485788518","1.3361782485788518","1.3361782485788518"
"550","1.2968975618481635","1.2968975618481635","1.2968975618481635","1.41867311373353","1.41867311373353","1.41867311373353","1.3487329430878163","1.3487329430878163","1.3487329430878163","1.5811791360378264","1.5811791360378264","1.5811791360378264","1.457365946471691","1.457365946471691","1.457365946471691","1.3215254701673984","1.3215254701673984","1.3215254701673984"
"600","1.2852018061138335","1.2852018061138335","1.2852018061138335","1.4072954319772266","1.4072954319772266","1.4072954319772266","1.3319515795934769","1.3319515795934769","1.3319515795934769","1.5749268770217895","1.5749268770217895","1.5749268770217895","1.4490394189244225","1.4490394189244225","1.4490394189244225","1.306755104519072","1.306755104519072","1.306755104519072"
"650","1.2723781581108387","1.2723781581108387","1.2723781581108387","1.3945747049955222","1.3945747049955222","1.3945747049955222","1.3179214789317204","1.3179214789317204","1.3179214789317204","1.5684808923647955","1.5684808923647955","1.5684808923647955","1.438333773612976","1.438333773612976","1.438333773612976","1.2885765646512692","1.2885765646512692","1.2885765646512692"
"700","1.264687277040174","1.264687277040174","1.264687277040174","1.38885250360735","1.38885250360735","1.38885250360735","1.305904318055799","1.305904318055799","1.305904318055799","1.5698714398568676","1.5698714398568676","1.5698714398568676","1.4368471722449025","1.4368471722449025","1.4368471722449025","1.2754728888311693","1.2754728888311693","1.2754728888311693"
"750","1.2536321875121859","1.2536321875121859","1.2536321875121859","1.3812034957938724","1.3812034957938724","1.3812034957938724","1.2918945444954766","1.2918945444954766","1.2918945444954766","1.5664015690485635","1.5664015690485635","1.5664015690485635","1.4310970647467507","1.4310970647467507","1.4310970647467507","1.2642633664939138","1.2642633664939138","1.2642633664939138"
"800","1.1083178018268787","1.1083178018268787","1.1083178018268787","1.2618831207877712","1.2618831207877712","1.2618831207877712","1.1940547541568154","1.1940547541568154","1.1940547541568154","1.486577686510588","1.486577686510588","1.486577686510588","1.3276335000991821","1.3276335000991821","1.3276335000991821","1.1175065668005693","1.1175065668005693","1.1175065668005693"
"850","1.151430418525917","1.151430418525917","1.151430418525917","1.2925178451814514","1.2925178451814514","1.2925178451814514","1.181529656700466","1.181529656700466","1.181529656700466","1.5176247341045435","1.5176247341045435","1.5176247341045435","1.3585543373356694","1.3585543373356694","1.3585543373356694","1.1378610393275386","1.1378610393275386","1.1378610393275386"
"900","1.135772483188565","1.135772483188565","1.135772483188565","1.2910938563467074","1.2910938563467074","1.2910938563467074","1.171195101838152","1.171195101838152","1.171195101838152","1.5212956576788126","1.5212956576788126","1.5212956576788126","1.357811742470044","1.357811742470044","1.357811742470044","1.1393002246608253","1.1393002246608253","1.1393002246608253"
"950","1.1179834667747544","1.1179834667747544","1.1179834667747544","1.2733233454664783","1.2733233454664783","1.2733233454664783","1.154051452346102","1.154051452346102","1.154051452346102","1.5086330337637275","1.5086330337637275","1.5086330337637275","1.3447124584186712","1.3447124584186712","1.3447124584186712","1.1271071331740836","1.1271071331740836","1.1271071331740836"
"1000","1.1096390499371915","1.1096390499371915","1.1096390499371915","1.2633047849620314","1.2633047849620314","1.2633047849620314","1.1451430666392253","1.1451430666392253","1.1451430666392253","1.5008450583235857","1.5008450583235857","1.5008450583235857","1.3355719047049954","1.3355719047049954","1.3355719047049954","1.114619483414306","1.114619483414306","1.114619483414306"
"1050","1.1062092588293508","1.1062092588293508","1.1062092588293508","1.2605320906550468","1.2605320906550468","1.2605320906550468","1.1387468013621618","1.1387468013621618","1.1387468013621618","1.5020393301563193","1.5020393301563193","1.5020393301563193","1.3341308459916523","1.3341308459916523","1.3341308459916523","1.105314572947619","1.105314572947619","1.105314572947619"
"1100","1.097642727406421","1.097642727406421","1.097642727406421","1.2526446298745733","1.2526446298745733","1.2526446298745733","1.1297533157103488","1.1297533157103488","1.1297533157103488","1.497868406735244","1.497868406735244","1.497868406735244","1.328233234374127","1.328233234374127","1.328233234374127","1.0953479982842473","1.0953479982842473","1.0953479982842473"
"1150","1.0894314950397668","1.0894314950397668","1.0894314950397668","1.2443104357254215","1.2443104357254215","1.2443104357254215","1.1212179862709872","1.1212179862709872","1.1212179862709872","1.4930651804942103","1.4930651804942103","1.4930651804942103","1.3216230360473074","1.3216230360473074","1.3216230360473074","1.0843717854843553","1.0843717854843553","1.0843717854843553"
"1200","1.0192229726484843","1.0192229726484843","1.0192229726484843","1.1508364421980721","1.1508364421980721","1.1508364421980721","1.048162511416844","1.048162511416844","1.048162511416844","1.4421037520681108","1.4421037520681108","1.4421037520681108","1.2492153474262782","1.2492153474262782","1.2492153474262782","0.9953197453703199","0.9953197453703199","0.9953197453703199"
"1250","0.9902037871189606","0.9902037871189606","0.9902037871189606","1.1430653929710388","1.1430653929710388","1.1430653929710388","1.0218092065591078","1.0218092065591078","1.0218092065591078","1.4431737875327086","1.4431737875327086","1.4431737875327086","1.2400579483081133","1.2400579483081133","1.2400579483081133","0.9719133805005978","0.9719133805005978","0.9719133805005978"
